onset,midi_number,morphetic_number,duration,staff_number,measure,type
-0.12,51,,0.12,1,0,
-0.12,63,,0.12,1,0,a
0.0,42,,0.88,1,1,
0.0,54,,0.88,1,1,a
0.88,30,,0.12,1,1,
0.88,42,,0.12,1,1,a
0.88,63,,0.12,0,1,
0.88,69,,0.12,0,1,
0.88,72,,0.12,0,1,
0.88,75,,0.12,0,1,a
1.0,42,,1.88,1,1,
1.0,54,,1.0,1,1,a
1.0,63,,1.88,0,1,
1.0,69,,1.0,0,1,
1.0,72,,1.0,0,1,
1.0,75,,1.0,0,1,a
2.88,54,,0.12,1,1,
2.88,63,,0.12,1,1,a
2.88,69,,0.12,0,1,
2.88,72,,0.12,0,1,a
3.0,54,,1.0,1,1,
3.0,63,,1.0,1,1,a
3.0,69,,1.0,0,1,
3.0,72,,0.75,0,1,a
3.75,71,,0.12,0,1,a
3.88,72,,0.12,0,1,a
4.0,55,,0.5,1,2,
4.0,62,,0.5,1,2,
4.0,67,,0.5,0,2,
4.0,71,,0.5,0,2,a
5.0,48,,0.5,1,2,
5.0,55,,0.5,1,2,
5.0,60,,0.5,1,2,
5.0,63,,0.5,0,2,
5.0,67,,0.5,0,2,
5.0,72,,0.5,0,2,
6.0,35,,0.5,1,2,
6.0,47,,0.5,1,2,
6.0,62,,0.5,0,2,
6.0,67,,0.5,0,2,
6.0,74,,0.5,0,2,
7.88,56,,0.12,1,2,a
7.88,68,,0.12,1,2,
8.0,47,,0.88,1,3,
8.0,59,,0.88,1,3,a
8.88,35,,0.12,1,3,
8.88,47,,0.12,1,3,a
8.88,68,,0.12,0,3,
8.88,74,,0.12,0,3,
8.88,77,,0.12,0,3,
8.88,80,,0.12,0,3,a
9.0,47,,1.88,1,3,
9.0,59,,1.0,1,3,a
9.0,68,,1.88,0,3,
9.0,74,,1.0,0,3,
9.0,77,,1.0,0,3,
9.0,80,,1.0,0,3,a
10.88,59,,0.12,1,3,
10.88,68,,0.12,1,3,a
10.88,74,,0.12,0,3,
10.88,77,,0.12,0,3,a
11.0,59,,1.0,1,3,
11.0,68,,1.0,1,3,a
11.0,74,,1.0,0,3,
11.0,77,,0.75,0,3,a
11.75,76,,0.12,0,3,a
11.88,77,,0.12,0,3,a
12.0,58,,0.5,1,4,
12.0,61,,0.5,1,4,
12.0,67,,0.5,0,4,
12.0,76,,0.5,0,4,a
13.0,56,,0.5,1,4,
13.0,60,,0.5,1,4,
13.0,65,,0.5,0,4,
13.0,72,,0.5,0,4,
13.0,77,,0.5,0,4,
14.0,40,,0.5,1,4,
14.0,52,,0.5,1,4,
14.0,67,,0.5,0,4,
14.0,72,,0.5,0,4,
14.0,79,,0.5,0,4,
15.88,49,,0.12,1,4,
15.88,61,,0.12,1,4,a
16.0,40,,0.88,1,5,
16.0,52,,0.88,1,5,a
16.88,41,,0.12,1,5,
16.88,53,,0.12,1,5,a
16.88,73,,0.12,0,5,
16.88,77,,0.12,0,5,
16.88,82,,0.12,0,5,
16.88,85,,0.12,0,5,a
17.0,41,,1.88,1,5,
17.0,53,,1.0,1,5,a
17.0,73,,1.88,0,5,
17.0,77,,1.0,0,5,
17.0,82,,1.0,0,5,
17.0,85,,1.0,0,5,a
18.88,53,,0.12,1,5,
