onset,midi_number,morphetic_number,duration,staff_number,measure,type
-1.0,60,,1.0,0,1,
-1.0,68,,1.0,0,1,a
0.0,61,,1.0,0,1,
0.0,70,,1.0,0,1,a
1.0,58,,1.0,0,1,
1.0,67,,1.0,0,1,a
2.0,53,,1.0,1,1,a
3.0,60,,1.0,0,1,
3.0,68,,1.0,0,1,a
4.0,56,,1.0,0,1,
4.0,65,,1.0,0,1,a
5.0,53,,1.0,1,1,
5.0,56,,1.0,1,1,
5.0,60,,1.0,0,1,
5.0,65,,1.0,0,1,a
6.0,55,,1.0,1,1,
6.0,58,,1.0,1,1,
6.0,60,,1.0,0,1,
6.0,64,,1.0,0,1,a
7.0,53,,1.0,1,1,
7.0,56,,1.0,1,1,
7.0,60,,1.0,0,1,
7.0,65,,1.0,0,1,a
8.0,52,,1.0,1,1,
8.0,55,,1.0,1,1,
8.0,60,,1.0,0,1,
8.0,67,,1.0,0,1,a
9.0,53,,2.0,1,1,
9.0,56,,2.0,1,1,
9.0,60,,2.0,0,1,
9.0,70,,1.0,0,1,a
10.0,68,,1.0,0,1,a
11.0,63,,1.0,0,1,
11.0,72,,1.0,0,1,a
12.0,65,,1.0,0,1,
12.0,73,,1.0,0,1,a
13.0,61,,1.0,0,1,
13.0,70,,1.0,0,1,a
14.0,44,,1.0,1,1,
14.0,56,,1.0,1,1,a
15.0,63,,1.0,0,1,
15.0,72,,1.0,0,1,a
16.0,60,,1.0,0,1,
16.0,68,,1.0,0,1,a
17.0,56,,1.0,1,1,
17.0,60,,1.0,1,1,
17.0,63,,1.0,0,1,
17.0,68,,1.0,0,1,a
18.0,58,,1.0,1,1,
18.0,61,,1.0,1,1,
18.0,63,,1.0,0,1,
18.0,67,,1.0,0,1,a
19.0,56,,1.0,1,1,
19.0,60,,1.0,1,1,
19.0,63,,1.0,0,1,
19.0,68,,1.0,0,1,a
20.0,55,,1.0,1,1,
20.0,58,,1.0,1,1,
20.0,63,,1.0,0,1,
20.0,70,,1.0,0,1,a
21.0,56,,2.0,1,1,
21.0,60,,2.0,1,1,
21.0,63,,2.0,0,1,
21.0,73,,1.0,0,1,a
22.0,72,,1.0,0,1,a
23.0,60,,1.0,1,1,
23.0,63,,1.0,1,1,
23.0,68,,1.0,0,1,
23.0,75,,1.0,0,1,a
24.0,58,,1.0,1,1,
24.0,61,,1.0,1,1,
24.0,67,,1.0,0,1,
24.0,75,,1.0,0,1,a
25.0,56,,1.0,1,1,
25.0,60,,1.0,1,1,
25.0,68,,1.0,0,1,
25.0,75,,1.0,0,1,a
26.0,55,,1.0,1,1,
26.0,58,,1.0,1,1,
26.0,70,,1.0,0,1,
26.0,75,,1.0,0,1,a
27.0,56,,2.0,1,1,
27.0,73,,1.0,0,1,
27.0,75,,2.0,0,1,a
28.0,72,,1.0,0,1,
29.0,49,,1.0,1,1,
29.0,58,,1.0,1,1,
29.0,77,,1.0,0,1,a
30.0,51,,2.0,1,1,
30.0,60,,2.0,1,1,
30.0,68,,2.0,0,1,a
32.0,51,,1.0,1,1,
32.0,61,,1.0,1,1,
32.0,67,,1.0,0,1,
32.0,70,,1.0,0,1,a
33.0,56,,1.0,1,1,
33.0,60,,1.0,1,1,
33.0,68,,1.0,0,1,a
35.0,79,,0.5,0,1,a
35.5,77,,0.5,0,1,a
36.0,51,,2.0,1,1,
36.0,60,,2.0,1,1,
36.0,68,,2.0,0,1,a
38.0,51,,1.0,1,1,
38.0,61,,1.0,1,1,
38.0,67,,1.0,0,1,
38.0,70,,1.0,0,1,a
39.0,56,,1.0,1,1,
39.0,60,,1.0,1,1,
39.0,68,,1.0,0,1,a
41.0,60,,1.0,0,1,
41.0,68,,1.0,0,1,a
42.0,61,,1.0,0,1,
42.0,70,,1.0,0,1,a
43.0,58,,1.0,0,1,
43.0,67,,1.0,0,1,a
44.0,53,,1.0,1,1,a
45.0,60,,1.0,0,1,
45.0,68,,1.0,0,1,a
46.0,56,,1.0,0,1,
46.0,65,,1.0,0,1,a
