onset,midi_number,morphetic_number,duration,staff_number,measure,type
-1.0,79,,0.25,0,1,a
-0.75,77,,0.25,0,1,a
-0.5,75,,0.25,0,1,a
-0.25,74,,0.25,0,1,a
0.0,72,,0.5,0,1,a
0.5,70,,0.5,0,1,a
0.5,58,,0.5,0,1,a
1.0,70,,1.5,0,1,a
1.0,62,,0.5,0,1,
1.5,65,,0.5,0,1,
2.0,62,,0.5,0,1,
2.5,74,,0.5,0,1,a
2.5,58,,0.5,0,1,
3.0,79,,0.5,0,1,a
3.0,62,,0.5,0,1,
3.5,74,,0.5,0,1,a
3.5,67,,0.5,0,1,
4.0,77,,1.0,0,1,a
4.5,60,,0.5,0,1,
5.0,75,,1.5,0,1,a
5.0,63,,0.5,0,1,
5.5,67,,0.5,0,1,
6.0,63,,0.5,0,1,
6.5,60,,0.5,0,1,
6.5,77,,0.25,0,1,a
6.75,79,,0.25,0,1,a
7.0,77,,0.25,0,1,a
7.0,63,,0.5,0,1,a
7.25,75,,0.25,0,1,a
7.5,67,,0.5,0,1,
7.5,74,,0.25,0,1,a
7.75,72,,0.25,0,1,a
8.0,70,,1.0,0,1,a
8.5,53,,0.5,0,1,
9.0,69,,1.5,0,1,a
9.0,60,,0.5,0,1,
9.5,63,,0.5,0,1,
10.0,60,,0.5,0,1,
10.5,69,,0.5,0,1,a
10.5,53,,0.5,0,1,a
11.0,60,,0.5,0,1,
11.0,70,,0.5,0,1,a
11.5,63,,0.5,0,1,
11.5,72,,0.5,0,1,a
12.0,72,,1.0,0,1,
12.0,69,,1.0,0,1,a
12.5,58,,0.5,0,1,
13.0,74,,1.0,0,1,a
13.0,62,,0.5,0,1,
13.0,70,,1.0,0,1,a
13.5,65,,0.5,0,1,
14.0,62,,0.5,0,1,
14.5,77,,0.25,0,1,a
14.5,58,,0.5,0,1,
14.75,76,,0.25,0,1,a
15.0,79,,0.25,0,1,a
15.0,62,,0.5,0,1,a
15.25,77,,0.25,0,1,a
15.5,75,,0.25,0,1,a
15.5,65,,0.5,0,1,a
15.75,74,,0.25,0,1,a
16.0,74,,0.5,0,1,a
16.0,63,,0.5,0,1,a
16.5,72,,1.0,0,1,a
16.5,67,,0.5,0,1,a
17.0,62,,0.5,0,1,a
17.5,70,,0.5,0,1,
17.5,65,,0.5,0,1,a
18.0,63,,0.5,0,1,
18.0,74,,0.5,0,1,a
18.5,72,,1.0,0,1,a
18.5,67,,0.5,0,1,a
19.0,60,,0.5,0,1,a
19.5,63,,0.5,0,1,
19.5,69,,0.5,0,1,a
20.0,62,,1.0,0,1,
20.0,65,,1.0,0,1,
20.0,70,,0.25,0,1,a
20.25,72,,0.25,0,1,a
20.5,70,,0.25,0,1,a
20.75,69,,0.25,0,1,
21.0,70,,0.25,0,1,a
21.25,72,,0.25,0,1,
21.5,74,,0.25,0,1,
21.75,75,,0.25,0,1,
22.0,76,,0.25,0,1,a
22.25,77,,0.25,0,1,
22.5,76,,0.25,0,1,a
22.75,77,,0.25,0,1,
23.0,79,,0.25,0,1,a
23.25,77,,0.25,0,1,a
23.5,75,,0.25,0,1,a
23.75,74,,0.25,0,1,a
24.0,74,,0.5,0,1,a
24.0,63,,0.5,0,1,a
24.5,72,,0.5,0,1,
24.5,67,,0.5,0,1,a
25.0,72,,0.5,0,1,a
25.0,62,,0.5,0,1,a
25.5,70,,0.5,0,1,
25.5,65,,0.5,0,1,a
26.0,63,,0.5,0,1,
26.0,74,,0.5,0,1,a
26.5,67,,0.5,0,1,
26.5,72,,0.5,0,1,a
27.0,72,,0.5,0,1,a
27.0,60,,0.5,0,1,a
27.5,63,,0.5,0,1,
27.5,69,,0.5,0,1,a
28.0,62,,1.0,0,1,
28.0,70,,0.5,0,1,
28.0,65,,1.0,0,1,a
28.5,72,,0.25,0,1,a
28.75,74,,0.25,0,1,a
29.0,75,,0.25,0,1,a
29.25,77,,0.25,0,1,
29.5,79,,0.25,0,1,a
29.75,81,,0.25,0,1,a
30.0,82,,0.25,0,1,a
30.25,84,,0.25,0,1,a
30.5,86,,0.25,0,1,a
30.75,87,,0.25,0,1,a
31.0,89,,0.5,0,1,a
31.5,89,,0.5,0,1,a
32.0,89,,0.5,0,1,
32.0,77,,2.5,0,1,
32.0,57,,1.0,0,1,a
32.5,87,,1.0,0,1,a
33.0,58,,1.0,0,1,a
33.5,86,,0.5,0,1,a
34.0,86,,0.5,0,1,a
34.0,51,,1.0,0,1,a
34.5,84,,0.5,0,1,a
34.5,75,,0.5,0,1,a
35.0,82,,0.5,0,1,
35.0,74,,0.5,0,1,a
35.0,53,,1.0,0,1,a
35.5,81,,0.5,0,1,
35.5,72,,0.5,0,1,a
36.0,82,,1.0,0,1,
36.0,74,,1.0,0,1,a
36.5,46,,0.5,0,1,a
37.0,70,,1.0,0,1,
37.0,50,,0.5,0,1,a
37.5,53,,0.5,0,1,a
38.0,58,,1.0,0,1,a
