onset,midi_number,morphetic_number,duration,staff_number,measure,type
-1.0,79,,2.0,0,1,a
0.0,63,,3.0,0,1,
0.0,60,,3.0,0,1,
1.0,75,,1.0,0,1,a
2.0,72,,2.0,0,1,a
3.0,62,,3.0,0,1,
3.0,65,,3.0,0,1,
4.0,71,,1.0,0,1,a
5.0,80,,2.0,0,1,a
6.0,59,,3.0,0,1,
6.0,62,,3.0,0,1,
7.0,79,,1.0,0,1,a
8.0,77,,2.0,0,1,a
9.0,60,,3.0,0,1,
9.0,67,,3.0,0,1,
10.0,75,,1.0,0,1,a
11.0,79,,2.0,0,1,a
12.0,63,,2.0,0,1,
12.0,67,,3.0,0,1,
13.0,84,,1.0,0,1,a
14.0,64,,1.0,0,1,
14.0,82,,2.0,0,1,a
15.0,65,,2.0,0,1,
15.0,68,,2.0,0,1,
16.0,80,,1.0,0,1,a
17.0,79,,2.0,0,1,a
17.0,67,,1.0,0,1,
17.0,70,,1.0,0,1,
18.0,68,,2.0,0,1,
18.0,72,,4.0,0,1,
19.0,77,,1.0,0,1,a
20.0,78,,2.0,0,1,a
20.0,69,,1.0,0,1,
21.0,67,,2.0,0,1,
22.0,79,,1.0,0,1,
22.0,71,,1.0,0,1,
23.0,67,,2.0,0,1,a
24.0,51,,3.0,0,1,
24.0,48,,3.0,0,1,
25.0,63,,1.0,0,1,a
26.0,60,,2.0,0,1,a
27.0,53,,3.0,0,1,
27.0,50,,3.0,0,1,
28.0,59,,1.0,0,1,a
29.0,68,,2.0,0,1,a
30.0,47,,3.0,0,1,
30.0,50,,3.0,0,1,
31.0,67,,1.0,0,1,a
32.0,65,,2.0,0,1,a
33.0,49,,3.0,0,1,
33.0,46,,3.0,0,1,
34.0,64,,1.0,0,1,a
35.0,73,,2.0,0,1,a
36.0,55,,2.0,0,1,
36.0,52,,3.0,0,1,
37.0,72,,1.0,0,1,a
38.0,70,,1.0,0,1,a
38.0,60,,4.0,0,1,
39.0,68,,1.0,0,1,a
39.0,53,,1.0,0,1,
40.0,67,,1.0,0,1,
40.0,55,,1.0,0,1,
41.0,66,,1.0,0,1,a
41.0,56,,1.0,0,1,
42.0,67,,1.0,0,1,
42.0,63,,1.0,0,1,
42.0,55,,1.0,0,1,
43.0,60,,1.0,0,1,
43.0,63,,1.0,0,1,
44.0,62,,1.0,0,1,
44.0,59,,1.0,0,1,
44.0,53,,1.0,0,1,
44.0,43,,1.0,0,1,
45.0,60,,1.0,0,1,
45.0,51,,1.0,0,1,
45.0,48,,1.0,0,1,
47.0,77,,0.25,0,1,a
47.25,75,,0.25,0,1,a
47.5,74,,0.25,0,1,a
47.75,72,,0.25,0,1,a
48.0,79,,1.0,0,1,a
48.0,59,,0.5,0,1,
48.0,62,,1.0,0,1,
48.5,55,,0.5,0,1,
49.0,60,,0.5,0,1,
49.0,67,,1.0,0,1,
49.0,63,,1.0,0,1,
49.0,79,,1.0,0,1,a
49.5,55,,0.5,0,1,
50.0,79,,1.0,0,1,a
50.0,62,,0.5,0,1,
50.0,67,,1.0,0,1,
50.0,65,,1.0,0,1,
50.5,55,,0.5,0,1,
51.0,63,,1.0,0,1,
51.0,79,,2.0,0,1,a
51.0,60,,0.5,0,1,
51.0,67,,2.0,0,1,
51.5,55,,0.5,0,1,
52.0,63,,1.0,0,1,
52.0,60,,0.5,0,1,
52.5,55,,0.5,0,1,
53.0,60,,0.5,0,1,
53.0,63,,1.0,0,1,
53.0,77,,0.25,0,1,a
53.25,75,,0.25,0,1,a
53.5,74,,0.25,0,1,a
53.5,55,,0.5,0,1,
53.75,72,,0.25,0,1,
54.0,59,,0.5,0,1,
54.0,62,,1.0,0,1,
54.0,79,,1.0,0,1,a
54.5,55,,0.5,0,1,
55.0,60,,0.5,0,1,
55.0,63,,1.0,0,1,
55.0,67,,1.0,0,1,
55.0,79,,1.0,0,1,a
55.5,55,,0.5,0,1,
56.0,62,,0.5,0,1,
56.0,65,,1.0,0,1,
56.0,79,,1.0,0,1,
56.0,67,,1.0,0,1,
56.5,55,,0.5,0,1,
57.0,63,,1.0,0,1,
57.0,79,,2.0,0,1,a
57.0,60,,0.5,0,1,
57.0,67,,2.0,0,1,
57.5,55,,0.5,0,1,
58.0,60,,0.5,0,1,
58.0,63,,1.0,0,1,
58.5,55,,0.5,0,1,
59.0,63,,1.0,0,1,
59.0,60,,0.5,0,1,
59.0,77,,0.25,0,1,a
59.25,75,,0.25,0,1,a
59.5,55,,0.5,0,1,
59.5,74,,0.25,0,1,a
59.75,72,,0.25,0,1,a
60.0,71,,1.0,0,1,
60.0,74,,1.0,0,1,
60.0,80,,1.0,0,1,a
61.0,41,,1.0,0,1,
61.0,53,,1.0,0,1,
62.0,65,,1.0,0,1,
62.0,53,,1.0,0,1,
63.0,72,,1.0,0,1,
63.0,75,,1.0,0,1,
63.0,79,,1.0,0,1,a
64.0,39,,1.0,0,1,
64.0,51,,1.0,0,1,
65.0,51,,1.0,0,1,
65.0,63,,1.0,0,1,
66.0,50,,1.0,0,1,
66.0,62,,1.0,0,1,
67.0,74,,1.0,0,1,
67.0,77,,1.0,0,1,
67.0,83,,1.0,0,1,
68.0,77,,1.0,0,1,
68.0,83,,1.0,0,1,
68.0,86,,1.0,0,1,
69.0,79,,1.0,0,1,
69.0,86,,1.0,0,1,
69.0,59,,1.0,0,1,
69.0,47,,1.0,0,1,
