onset,midi_number,morphetic_number,duration,staff_number,measure,type
0.0,72,,0.5,0,1,a
0.0,60,,1.0,0,1,
0.0,64,,0.25,0,1,
0.25,67,,0.25,0,1,
0.5,72,,0.5,0,1,a
0.5,64,,0.25,0,1,
0.75,67,,0.25,0,1,
1.0,72,,0.5,0,1,a
1.0,64,,0.25,0,1,
1.25,67,,0.25,0,1,
1.5,72,,0.5,0,1,a
1.5,64,,0.25,0,1,
1.75,67,,0.25,0,1,
2.0,71,,0.5,0,1,a
2.0,62,,1.0,0,1,
2.0,65,,0.25,0,1,
2.25,67,,0.25,0,1,
2.5,77,,0.5,0,1,a
2.5,65,,0.25,0,1,
2.75,67,,0.25,0,1,
3.0,77,,1.0,0,1,a
3.0,62,,0.25,0,1,
3.0,59,,0.5,0,1,
3.25,67,,0.25,0,1,
3.5,59,,0.25,0,1,
3.5,55,,0.5,0,1,
3.75,67,,0.25,0,1,
4.0,76,,1.0,0,1,a
4.0,60,,0.25,0,1,
4.25,67,,0.25,0,1,
4.5,59,,0.25,0,1,
4.75,67,,0.25,0,1,
5.0,79,,0.25,0,1,a
5.0,57,,0.25,0,1,
5.25,77,,0.25,0,1,a
5.25,60,,0.25,0,1,
5.5,76,,0.25,0,1,a
5.5,53,,0.25,0,1,
5.75,74,,0.25,0,1,a
5.75,65,,0.25,0,1,
6.0,72,,0.25,0,1,a
6.0,64,,0.25,0,1,
6.0,55,,1.5,0,1,
6.25,71,,0.25,0,1,a
6.25,62,,0.25,0,1,
6.5,69,,0.25,0,1,a
6.5,60,,0.25,0,1,
6.75,59,,0.25,0,1,
6.75,67,,0.25,0,1,a
7.0,69,,0.25,0,1,a
7.0,60,,0.25,0,1,
7.25,59,,0.25,0,1,
7.25,67,,0.25,0,1,a
7.5,69,,0.25,0,1,a
7.5,60,,0.25,0,1,
7.5,53,,0.25,0,1,
7.75,71,,0.25,0,1,a
7.75,62,,0.25,0,1,
8.0,72,,0.5,0,1,a
8.0,52,,1.0,0,1,
8.0,55,,0.25,0,1,
8.25,60,,0.25,0,1,
8.5,72,,0.5,0,1,a
8.5,55,,0.25,0,1,
8.75,60,,0.25,0,1,
9.0,72,,0.5,0,1,a
9.0,53,,0.25,0,1,
9.0,50,,0.5,0,1,
9.25,60,,0.25,0,1,
9.5,72,,0.5,0,1,a
9.5,52,,0.25,0,1,
9.5,48,,0.5,0,1,
9.75,60,,0.25,0,1,
10.0,71,,0.5,0,1,a
10.0,53,,0.25,0,1,
10.0,50,,1.0,0,1,
10.25,55,,0.25,0,1,
10.5,77,,0.5,0,1,a
10.5,53,,0.25,0,1,
10.75,55,,0.25,0,1,
11.0,77,,1.0,0,1,a
11.0,50,,0.25,0,1,
11.0,47,,0.5,0,1,
11.25,55,,0.25,0,1,
11.5,43,,0.5,0,1,
11.5,47,,0.25,0,1,
11.75,55,,0.25,0,1,
12.0,48,,0.25,0,1,
12.0,77,,0.25,0,1,a
12.25,76,,0.25,0,1,a
12.25,55,,0.25,0,1,
12.5,77,,0.25,0,1,a
12.5,53,,0.5,0,1,
12.5,57,,0.25,0,1,
12.75,74,,0.25,0,1,a
12.75,65,,0.25,0,1,
13.0,72,,0.5,0,1,a
13.0,64,,0.5,0,1,
13.0,55,,0.5,0,1,
13.5,71,,0.5,0,1,a
13.5,65,,0.5,0,1,
13.5,62,,0.5,0,1,
13.5,55,,0.5,0,1,
14.0,71,,1.0,0,1,a
14.0,65,,1.0,0,1,
14.0,60,,0.5,0,1,
14.0,62,,1.0,0,1,
14.5,55,,0.5,0,1,
15.0,64,,0.5,0,1,
15.0,48,,0.5,0,1,
15.0,67,,0.5,0,1,
15.0,72,,0.5,0,1,a
16.0,76,,1.0,0,1,a
16.0,60,,0.25,0,1,
16.25,67,,0.25,0,1,
16.5,64,,0.25,0,1,
16.75,67,,0.25,0,1,
17.0,79,,0.75,0,1,a
17.0,59,,0.25,0,1,
17.25,67,,0.25,0,1,
17.5,62,,0.25,0,1,
17.75,77,,0.25,0,1,a
17.75,67,,0.25,0,1,
18.0,76,,0.5,0,1,a
18.0,60,,0.25,0,1,
18.25,67,,0.25,0,1,
18.5,62,,0.25,0,1,
18.75,67,,0.25,0,1,
18.875,74,,0.125,0,1,a
19.0,64,,0.25,0,1,
19.0,72,,1.5,0,1,a
19.25,67,,0.25,0,1,
19.5,60,,0.25,0,1,
19.75,67,,0.25,0,1,
19.875,76,,0.125,0,1,a
20.0,74,,0.5,0,1,a
20.0,59,,0.25,0,1,
20.25,62,,0.25,0,1,
20.5,57,,0.25,0,1,
20.75,60,,0.25,0,1,
20.875,78,,0.125,0,1,a
21.0,79,,0.5,0,1,a
21.0,59,,0.25,0,1,
21.25,62,,0.25,0,1,
21.5,55,,0.25,0,1,
21.75,59,,0.25,0,1,
21.875,83,,0.125,0,1,a
22.0,74,,0.5,0,1,a
22.0,57,,0.25,0,1,
22.25,62,,0.25,0,1,
22.5,72,,0.5,0,1,a
22.5,54,,0.25,0,1,
22.75,62,,0.25,0,1,
23.0,71,,0.5,0,1,a
23.0,55,,0.25,0,1,
23.25,54,,0.25,0,1,
23.5,52,,0.25,0,1,
23.75,50,,0.25,0,1,
24.0,69,,1.0,0,1,a
24.0,48,,0.25,0,1,
24.25,52,,0.25,0,1,
24.5,57,,0.25,0,1,
24.75,60,,0.25,0,1,
25.0,72,,0.25,0,1,a
25.0,64,,0.25,0,1,
25.25,62,,0.25,0,1,
25.25,71,,0.25,0,1,a
25.5,69,,0.25,0,1,a
25.5,60,,0.25,0,1,
25.75,67,,0.25,0,1,a
25.75,59,,0.25,0,1,
26.0,66,,0.25,0,1,a
26.0,57,,0.25,0,1,
26.25,67,,0.25,0,1,a
26.25,59,,0.25,0,1,
26.5,60,,0.25,0,1,
26.5,69,,0.25,0,1,a
26.75,59,,0.25,0,1,
26.75,71,,0.25,0,1,a
27.0,72,,0.25,0,1,a
27.0,57,,0.25,0,1,
27.25,74,,0.25,0,1,a
27.25,59,,0.25,0,1,
27.5,76,,0.25,0,1,a
27.5,60,,0.25,0,1,
27.75,78,,0.25,0,1,a
27.75,57,,0.25,0,1,
28.0,79,,0.25,0,1,a
28.0,59,,0.25,0,1,
28.25,81,,0.25,0,1,a
28.25,54,,0.25,0,1,
28.5,83,,0.25,0,1,a
28.5,55,,0.25,0,1,
28.75,57,,0.25,0,1,
28.75,84,,0.25,0,1,a
29.0,86,,0.25,0,1,a
29.0,59,,0.25,0,1,
29.25,55,,0.25,0,1,
29.25,83,,0.25,0,1,a
29.5,60,,0.25,0,1,
29.5,88,,0.25,0,1,a
29.75,57,,0.25,0,1,
29.75,84,,0.25,0,1,a
30.0,83,,1.0,0,1,a
30.0,79,,1.0,0,1,
30.0,62,,0.25,0,1,
30.25,67,,0.25,0,1,
30.5,64,,0.25,0,1,
30.75,61,,0.25,0,1,
31.0,78,,0.5,0,1,
31.0,62,,0.25,0,1,
31.0,81,,0.5,0,1,a
31.25,60,,0.25,0,1,
31.5,59,,0.25,0,1,
31.75,57,,0.25,0,1,
32.0,74,,0.75,0,1,a
32.0,55,,0.25,0,1,
32.25,62,,0.25,0,1,
32.5,59,,0.25,0,1,
32.75,76,,0.125,0,1,a
32.75,62,,0.25,0,1,
32.875,78,,0.125,0,1,a
33.0,79,,0.25,0,1,a
33.0,55,,0.25,0,1,
33.25,78,,0.25,0,1,a
