onset,midi_number,morphetic_number,duration,staff_number,measure,type
0.0,41,,1.0,0,1,
0.0,53,,1.0,0,1,
0.0,60,,1.0,0,1,
0.0,65,,1.0,0,1,
0.0,69,,1.0,0,1,
0.0,72,,1.0,0,1,
1.0,48,,1.0,0,1,
1.0,69,,1.0,0,1,
1.0,72,,1.0,0,1,
2.0,45,,1.0,0,1,
2.0,69,,1.0,0,1,
2.0,72,,1.0,0,1,
3.0,41,,1.0,0,1,
3.0,69,,1.5,0,1,
3.0,72,,1.5,0,1,
4.0,29,,1.0,0,1,
4.5,74,,0.25,0,1,a
4.75,72,,0.25,0,1,a
5.0,70,,0.25,0,1,a
5.25,69,,0.25,0,1,a
5.5,67,,0.25,0,1,a
5.75,65,,0.25,0,1,a
6.0,53,,0.5,0,1,
6.0,57,,0.5,0,1,
6.0,77,,1.0,0,1,a
6.5,53,,0.5,0,1,
6.5,57,,0.5,0,1,
7.0,53,,0.5,0,1,
7.0,55,,0.5,0,1,
7.0,58,,0.5,0,1,
7.0,76,,1.0,0,1,a
7.5,53,,0.5,0,1,
7.5,55,,0.5,0,1,
7.5,58,,0.5,0,1,
8.0,53,,0.5,0,1,
8.0,57,,0.5,0,1,
8.0,60,,0.5,0,1,
8.0,75,,1.0,0,1,a
8.5,53,,0.5,0,1,
8.5,57,,0.5,0,1,
8.5,60,,0.5,0,1,
9.0,53,,0.5,0,1,
9.0,58,,0.5,0,1,
9.0,62,,0.5,0,1,
9.0,74,,1.0,0,1,
9.5,53,,0.5,0,1,
9.5,58,,0.5,0,1,
9.5,62,,0.5,0,1,
10.0,53,,0.5,0,1,
10.0,58,,0.5,0,1,
10.0,62,,0.5,0,1,
10.5,53,,0.5,0,1,
10.5,58,,0.5,0,1,
10.5,62,,0.5,0,1,
11.0,53,,0.5,0,1,
11.0,58,,0.5,0,1,
11.0,62,,0.5,0,1,
11.5,53,,0.5,0,1,
11.5,58,,0.5,0,1,
11.5,62,,0.5,0,1,
12.0,53,,0.5,0,1,
12.0,55,,0.5,0,1,
12.0,64,,0.5,0,1,
12.0,72,,0.5,0,1,
12.5,53,,0.5,0,1,
12.5,55,,0.5,0,1,
12.5,64,,0.5,0,1,
12.5,70,,0.5,0,1,
13.0,53,,0.5,0,1,
13.0,55,,0.5,0,1,
13.0,64,,0.5,0,1,
13.0,70,,1.0,0,1,
13.5,53,,0.5,0,1,
13.5,55,,0.5,0,1,
13.5,64,,0.5,0,1,
14.0,53,,0.5,0,1,
14.0,55,,0.5,0,1,
14.0,64,,0.5,0,1,
14.5,53,,0.5,0,1,
14.5,55,,0.5,0,1,
14.5,64,,0.5,0,1,
15.0,53,,0.5,0,1,
15.0,57,,0.5,0,1,
15.0,65,,0.5,0,1,
15.0,74,,0.5,0,1,
15.5,53,,0.5,0,1,
15.5,57,,0.5,0,1,
15.5,65,,0.5,0,1,
15.5,72,,0.5,0,1,
16.0,53,,0.5,0,1,
16.0,57,,0.5,0,1,
16.0,65,,0.5,0,1,
16.0,72,,1.0,0,1,
16.5,53,,0.5,0,1,
16.5,57,,0.5,0,1,
16.5,65,,0.5,0,1,
17.0,53,,0.5,0,1,
17.0,57,,0.5,0,1,
17.0,65,,0.5,0,1,
17.5,53,,0.5,0,1,
17.5,57,,0.5,0,1,
17.5,65,,0.5,0,1,
